"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2004","2004",1310.214,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2004-Q2","T2-2004",1353.106,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2004-Q1","T1-2004",1315.07,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2004-Q4","T4-2004",1261.596,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2004-Q3","T3-2004",1311.081,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2005","2005",1199.106,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2005-Q1","T1-2005",1207.79,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2005-Q2","T2-2005",1246.021,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2005-Q4","T4-2005",1146.931,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2005-Q3","T3-2005",1195.683,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2006","2006",1077.515,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2006-Q2","T2-2006",1118.154,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2006-Q1","T1-2006",1079.591,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2006-Q4","T4-2006",1053.774,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2006-Q3","T3-2006",1058.539,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2007","2007",1003.871,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2007-Q1","T1-2007",990.306,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2007-Q2","T2-2007",1046.005,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2007-Q4","T4-2007",969.677,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2007-Q3","T3-2007",1009.497,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2008","2008",900.04,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2008-Q2","T2-2008",927.906,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2008-Q1","T1-2008",909.737,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2008-Q4","T4-2008",847.679,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2008-Q3","T3-2008",914.838,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2009","2009",797.549,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2009-Q1","T1-2009",820.421,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2009-Q2","T2-2009",819.886,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2009-Q4","T4-2009",781.728,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2009-Q3","T3-2009",768.16,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2010","2010",725.669,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2010-Q2","T2-2010",747.842,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2010-Q1","T1-2010",766.456,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2010-Q4","T4-2010",688.845,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2010-Q3","T3-2010",699.533,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2011","2011",663.534,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2011-Q1","T1-2011",701.61,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2011-Q2","T2-2011",642.548,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2011-Q4","T4-2011",657.696,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2011-Q3","T3-2011",652.284,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2012","2012",600.745,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2012-Q2","T2-2012",563.197,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2012-Q1","T1-2012",620.35,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2012-Q4","T4-2012",610.423,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2012-Q3","T3-2012",609.011,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2013","2013",518.399,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2013-Q1","T1-2013",522.733,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2013-Q2","T2-2013",516.601,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2013-Q4","T4-2013",524.18,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2013-Q3","T3-2013",510.085,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2014","2014",467.18,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2014-Q2","T2-2014",482.937,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2014-Q1","T1-2014",472.816,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2014-Q4","T4-2014",452.388,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2014-Q3","T3-2014",460.579,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2015","2015",431.771,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2015-Q1","T1-2015",446.359,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2015-Q2","T2-2015",441.297,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2015-Q4","T4-2015",403.023,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2015-Q3","T3-2015",436.404,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016","2016",389.315,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q2","T2-2016",393.833,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q1","T1-2016",398.52,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q4","T4-2016",390.611,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q3","T3-2016",374.297,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017","2017",372.355,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q1","T1-2017",378.819,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q2","T2-2017",375.398,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q4","T4-2017",371.27,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q3","T3-2017",363.933,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018","2018",345.644,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q2","T2-2018",361.338,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q1","T1-2018",359.119,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q4","T4-2018",314.141,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q3","T3-2018",347.976,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019","2019",308.34,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q1","T1-2019",297.033,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q2","T2-2019",327.837,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q4","T4-2019",299.231,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q3","T3-2019",309.262,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020","2020",287.825,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q2","T2-2020",315.323,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q1","T1-2020",272.553,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q3","T3-2020",292.806,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q4","T4-2020",270.617,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2004","2004",4852.983,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2004-Q2","T2-2004",4909.059,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2004-Q1","T1-2004",4733.574,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2004-Q4","T4-2004",4820.639,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2004-Q3","T3-2004",4948.661,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2005","2005",4748.792,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2005-Q1","T1-2005",4692.568,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2005-Q2","T2-2005",4762.021,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2005-Q4","T4-2005",4722.303,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2005-Q3","T3-2005",4818.277,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2006","2006",4741.086,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2006-Q2","T2-2006",4799.567,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2006-Q1","T1-2006",4704.864,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2006-Q4","T4-2006",4688.355,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2006-Q3","T3-2006",4771.559,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2007","2007",4712.993,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2007-Q1","T1-2007",4634.265,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2007-Q2","T2-2007",4730.952,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2007-Q4","T4-2007",4683.835,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2007-Q3","T3-2007",4802.919,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2008","2008",4616.949,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2008-Q2","T2-2008",4713.263,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2008-Q1","T1-2008",4575.334,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2008-Q4","T4-2008",4518.286,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2008-Q3","T3-2008",4660.915,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2009","2009",4428.212,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2009-Q1","T1-2009",4438.703,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2009-Q2","T2-2009",4499.341,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2009-Q4","T4-2009",4359.968,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2009-Q3","T3-2009",4414.835,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2010","2010",4266.053,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2010-Q2","T2-2010",4345.634,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2010-Q1","T1-2010",4304.093,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2010-Q4","T4-2010",4188.682,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2010-Q3","T3-2010",4225.802,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2011","2011",4197.441,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2011-Q1","T1-2011",4164.173,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2011-Q2","T2-2011",4233.658,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2011-Q4","T4-2011",4112.462,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2011-Q3","T3-2011",4279.47,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2012","2012",4068.478,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2012-Q2","T2-2012",4093.016,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2012-Q1","T1-2012",3991.433,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2012-Q4","T4-2012",4025.54,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2012-Q3","T3-2012",4163.925,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2013","2013",3846.67,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2013-Q1","T1-2013",3819.501,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2013-Q2","T2-2013",3831.858,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2013-Q4","T4-2013",3855.899,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2013-Q3","T3-2013",3879.421,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2014","2014",3751.266,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2014-Q2","T2-2014",3727.503,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2014-Q1","T1-2014",3712.221,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2014-Q4","T4-2014",3713.771,,
