"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","ATECO_2007","Ateco 2007","POSIZPROF","Posizione professionale","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2016","2016",48.923,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2016-Q2","T2-2016",53.865,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2016-Q1","T1-2016",50.175,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2016-Q4","T4-2016",46.206,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2016-Q3","T3-2016",45.446,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2017","2017",57.508,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2017-Q1","T1-2017",51.734,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2017-Q2","T2-2017",53.484,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2017-Q4","T4-2017",68.237,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2017-Q3","T3-2017",56.579,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2018","2018",56.381,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2018-Q2","T2-2018",47.658,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2018-Q1","T1-2018",61.935,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2018-Q4","T4-2018",64.149,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2018-Q3","T3-2018",51.781,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2019","2019",52.725,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2019-Q1","T1-2019",51.904,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2019-Q2","T2-2019",51.761,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2019-Q4","T4-2019",50.635,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2019-Q3","T3-2019",56.599,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2020","2020",51.699,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2020-Q2","T2-2020",49.475,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2020-Q1","T1-2020",51.785,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2020-Q3","T3-2020",56.487,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2020-Q4","T4-2020",49.05,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2016","2016",7.995,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2016-Q2","T2-2016",9.718,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2016-Q1","T1-2016",9.701,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2016-Q4","T4-2016",5.762,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2016-Q3","T3-2016",6.799,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2017","2017",3.438,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2017-Q1","T1-2017",4.743,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2017-Q2","T2-2017",4.597,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2017-Q4","T4-2017",1.385,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2017-Q3","T3-2017",3.027,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2018","2018",3.735,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2018-Q2","T2-2018",3.678,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2018-Q1","T1-2018",3.551,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2018-Q4","T4-2018",4.061,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2018-Q3","T3-2018",3.648,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2019","2019",3.653,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2019-Q1","T1-2019",1.984,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2019-Q2","T2-2019",2.499,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2019-Q4","T4-2019",5.613,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2019-Q3","T3-2019",4.514,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2020","2020",7.2,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2020-Q2","T2-2020",7.265,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2020-Q1","T1-2020",6.693,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2020-Q3","T3-2020",7.748,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","F","costruzioni","1","dipendenti","2020-Q4","T4-2020",7.095,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","2","indipendenti","2016","2016",45.261,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","2","indipendenti","2016-Q2","T2-2016",46.391,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","2","indipendenti","2016-Q1","T1-2016",49.076,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","2","indipendenti","2016-Q4","T4-2016",44.746,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","2","indipendenti","2016-Q3","T3-2016",40.831,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","2","indipendenti","2017","2017",45.142,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","2","indipendenti","2017-Q1","T1-2017",51.092,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","2","indipendenti","2017-Q2","T2-2017",43.504,,
"ITC1","Piemonte","1","maschi","Y_GE15","15 anni e più","F","costruzioni","2","indipendenti","2017-Q4","T4-2017",47.648,,
