"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016","2016",51.369206,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q2","T2-2016",51.626876,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q1","T1-2016",51.197826,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q4","T4-2016",52.731811,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q3","T3-2016",49.926087,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017","2017",51.335112,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q1","T1-2017",52.071647,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q2","T2-2017",51.232492,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q4","T4-2017",50.530103,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q3","T3-2017",51.472614,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018","2018",51.494596,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q2","T2-2018",52.366941,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q1","T1-2018",48.979087,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q4","T4-2018",51.801329,,
