"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016","2016",48.630923,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q2","T2-2016",48.373124,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q1","T1-2016",48.80205,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q4","T4-2016",47.268189,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q3","T3-2016",50.073913,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017","2017",48.664888,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q1","T1-2017",47.928353,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q2","T2-2017",48.767508,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q4","T4-2017",49.469897,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q3","T3-2017",48.527242,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018","2018",48.505404,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q2","T2-2018",47.633208,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q1","T1-2018",51.020913,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q4","T4-2018",48.198828,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q3","T3-2018",47.040366,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019","2019",49.740711,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q1","T1-2019",50.314149,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q2","T2-2019",49.526107,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q4","T4-2019",50.126799,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q3","T3-2019",48.989409,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020","2020",51.615907,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q2","T2-2020",51.752797,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q1","T1-2020",50.796267,,
"IT","Italia","INAC_R","tasso di inattività","1","maschi","Y15-64","15-64 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q3","T3-2020",52.21657,,
