Anno,Regione,Settore__attività_economica,Nazionalità,sesso,Tipologia_variazione,Classe_di_età,Presenza_part_time,tipologia_incentivo,Numero_variazioni
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Esonero giovani,1.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Nessuna agevolazione,10.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Esonero giovani,2.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Nessuna agevolazione,19.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time si,Altro,3.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time si,Nessuna agevolazione,18.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time no,Nessuna agevolazione,18.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time si,Nessuna agevolazione,5.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time no,Altro,1.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time no,Nessuna agevolazione,3.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Femmine,Trasformazioni a tempo indeterminato da rapporti stagionali,30 - 50,Part time no,Nessuna agevolazione,2.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Femmine,Apprendisti trasformati a tempo indeterminato,Fino a 29,Part time no,Apprendistato,3.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Esonero giovani,2.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Nessuna agevolazione,5.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Esonero giovani,2.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Nessuna agevolazione,7.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time si,Altro,6.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time si,Nessuna agevolazione,6.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time no,Altro,3.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time no,Nessuna agevolazione,15.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time si,Altro,2.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time si,Nessuna agevolazione,4.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time no,Nessuna agevolazione,10.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti intermittenti,51 ed oltre,Part time no,Nessuna agevolazione,2.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Italiana,Maschi,Apprendisti trasformati a tempo indeterminato,Fino a 29,Part time no,Apprendistato,3.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Nessuna agevolazione,1.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Nessuna agevolazione,1.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time si,Altro,1.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time no,Nessuna agevolazione,2.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time si,Nessuna agevolazione,1.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time no,Nessuna agevolazione,1.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Femmine,Apprendisti trasformati a tempo indeterminato,Fino a 29,Part time no,Apprendistato,1.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Esonero giovani,1.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Nessuna agevolazione,1.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Nessuna agevolazione,1.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time si,Nessuna agevolazione,5.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time no,Altro,2.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time no,Nessuna agevolazione,8.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time si,Altro,1.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time si,Nessuna agevolazione,2.0
2019,Piemonte,"Agricoltura, silvicoltura e pesca",Straniera,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time no,Nessuna agevolazione,2.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Esonero giovani,18.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Nessuna agevolazione,86.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Esonero giovani,157.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Altro,1.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Nessuna agevolazione,371.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time si,Esonero giovani,5.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time si,Altro,10.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time si,Nessuna agevolazione,416.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time no,Esonero giovani,33.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time no,Altro,7.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time no,Nessuna agevolazione,894.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time si,Altro,17.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time si,Nessuna agevolazione,162.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time no,Altro,9.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time no,Nessuna agevolazione,226.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato da rapporti stagionali,Fino a 29,Part time si,Esonero giovani,5.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato da rapporti stagionali,Fino a 29,Part time si,Nessuna agevolazione,6.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato da rapporti stagionali,Fino a 29,Part time no,Esonero giovani,2.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato da rapporti stagionali,Fino a 29,Part time no,Nessuna agevolazione,1.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato da rapporti stagionali,30 - 50,Part time si,Nessuna agevolazione,34.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato da rapporti stagionali,30 - 50,Part time no,Nessuna agevolazione,5.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato da rapporti stagionali,51 ed oltre,Part time si,Nessuna agevolazione,5.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato da rapporti stagionali,51 ed oltre,Part time no,Nessuna agevolazione,2.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato da rapporti intermittenti,Fino a 29,Part time no,Nessuna agevolazione,4.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato da rapporti intermittenti,30 - 50,Part time no,Nessuna agevolazione,10.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Trasformazioni a tempo indeterminato da rapporti intermittenti,51 ed oltre,Part time no,Nessuna agevolazione,2.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Apprendisti trasformati a tempo indeterminato,Fino a 29,Part time si,Apprendistato,45.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Apprendisti trasformati a tempo indeterminato,Fino a 29,Part time no,Apprendistato,252.0
