"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","CITTADINANZA","Cittadinanza","ATECO_2007","Ateco 2007","POSIZPROF","Posizione professionale","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2017","2017",5917.906,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2017-Q1","T1-2017",5811.193,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2017-Q2","T2-2017",5952.3,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2017-Q4","T4-2017",5983.072,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2017-Q3","T3-2017",5925.059,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2018","2018",5967.428,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2018-Q2","T2-2018",6053.828,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2018-Q1","T1-2018",5950.519,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2018-Q4","T4-2018",5956.881,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2018-Q3","T3-2018",5908.486,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2019","2019",6036.058,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2019-Q1","T1-2019",5996.639,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2019-Q2","T2-2019",6171.465,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2019-Q4","T4-2019",5980.944,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2019-Q3","T3-2019",5995.185,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2020","2020",5944.211,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2020-Q2","T2-2020",5883.653,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","ITL","italiano-a","0012","TOTALE SERVIZI (g-u)","1","dipendenti","2020-Q1","T1-2020",5993.312,,
