"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019","2019",308.34,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q1","T1-2019",297.033,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q2","T2-2019",327.837,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q4","T4-2019",299.231,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q3","T3-2019",309.262,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020","2020",287.825,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q2","T2-2020",315.323,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q1","T1-2020",272.553,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q3","T3-2020",292.806,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q4","T4-2020",270.617,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019","2019",3658.589,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q1","T1-2019",3575.833,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q2","T2-2019",3655.148,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q4","T4-2019",3671.23,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q3","T3-2019",3732.146,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020","2020",3543.524,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q2","T2-2020",3577.757,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q1","T1-2020",3498.408,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q3","T3-2020",3615.007,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q4","T4-2020",3482.923,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019","2019",5749.132,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q1","T1-2019",5704.885,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q2","T2-2019",5762.179,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q4","T4-2019",5742.793,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q3","T3-2019",5786.672,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020","2020",5674.368,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q2","T2-2020",5587.49,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q1","T1-2020",5711.498,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q3","T3-2020",5665.622,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q4","T4-2020",5732.862,,
