"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016","2016",19.629936,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q2","T2-2016",20.225368,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q1","T1-2016",19.391939,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q4","T4-2016",19.974309,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016-Q3","T3-2016",18.88343,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017","2017",17.948599,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q1","T1-2017",20.176202,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q2","T2-2017",16.392614,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q4","T4-2017",17.855349,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017-Q3","T3-2017",17.228886,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018","2018",17.969822,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q2","T2-2018",17.777004,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q1","T1-2018",16.095494,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q4","T4-2018",20.378514,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2018-Q3","T3-2018",17.820681,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019","2019",18.50312,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q1","T1-2019",21.43917,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q2","T2-2019",17.036477,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q4","T4-2019",16.462358,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q3","T3-2019",19.028007,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020","2020",15.088857,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q2","T2-2020",12.133988,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q1","T1-2020",17.712893,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q3","T3-2020",15.013656,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q4","T4-2020",15.764916,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2016","2016",14.104062,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2016-Q2","T2-2016",13.903572,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2016-Q1","T1-2016",15.180418,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2016-Q4","T4-2016",14.590033,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2016-Q3","T3-2016",12.78077,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2017","2017",13.909768,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2017-Q1","T1-2017",15.235697,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2017-Q2","T2-2017",13.966311,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2017-Q4","T4-2017",13.749907,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2017-Q3","T3-2017",12.692397,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2018","2018",12.703211,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2018-Q2","T2-2018",13.134842,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2018-Q1","T1-2018",13.865395,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2018-Q4","T4-2018",12.490589,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2018-Q3","T3-2018",11.318454,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019","2019",11.681596,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q1","T1-2019",13.250722,,
"IT","Italia","UNEM_R","tasso di disoccupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q2","T2-2019",11.893212,,
