"Osservatorio: Osservatorio sugli stranieri - Retribuzioni dei lavoratori dipendenti stranieri"
"Filtri:"
"Area di provenienza:Paesi esteri extra UE";"Classe di età:Fino a 19";"Classe di età:20 - 24";"Classe di età:25 - 29";"Classe di età:30 - 34";"Anno:2019"

"
                        
                            
                        
                    ";"
                        
                            
                                
                                    
                                
                                -
                                
                                
                                    Cerca
                                
                            
                        
                    ";"
                            
                                
                                    
                                        
                                        
                                             Entra in MyINPS
                                        
                                    
                                
                            
                        "
"";" ";"Regione";" Piemonte";" ";" Valled'Aosta/Vallee d'Aoste";" ";" Liguria";" ";" Lombardia";" ";" Trentino -Alto-Adige";" ";" Veneto";" ";" Friuli -VeneziaGiulia";" ";" Emilia -Romagna";" ";" Toscana";" ";" Umbria";" ";" Marche";" ";" Lazio";" ";" Abruzzo";" ";" Molise";" ";" Campania";" ";" Puglia";" ";" Basilicata";" ";" Calabria";" ";" Sicilia";" ";" Sardegna";" ";" Estero";" ";" Totale";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tipologia 1";"Tipologia 2";"";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) ";"Numero ";"Importo medio annuo (euro) "
" -Lavoratori dipendenti del settore privato agricolo";"Lavoratori dipendenti del settore privato agricolo";"";"6.002 ";"5.565,51 ";"122 ";"7.939,56 ";"997 ";"8.200,33 ";"5.132 ";"11.002,40 ";"1.593 ";"6.780,52 ";"5.529 ";"6.667,50 ";"1.018 ";"6.486,78 ";"8.181 ";"8.317,67 ";"5.368 ";"7.859,70 ";"1.511 ";"9.414,45 ";"1.580 ";"7.891,62 ";"6.146 ";"6.185,89 ";"1.840 ";"5.727,44 ";"511 ";"3.619,21 ";"4.280 ";"5.569,82 ";"9.433 ";"4.210,46 ";"2.171 ";"3.849,01 ";"3.295 ";"3.033,43 ";"6.759 ";"4.987,96 ";"460 ";"4.994,12 ";"- ";"- ";"71.928 ";"6.374,97 "
